Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
1,5,48,1,2000,11,1,1
2,5,45,1,2000,11,3,1
1,5,4,1,2000,11,8,1
2,5,37,1,2000,11,9,1
5,5,48,1,2000,11,9,1
2,5,48,1,2000,11,14,1
1,5,29,1,2000,11,15,1
2,5,48,1,2000,11,15,1
2,5,10,1,2000,11,17,1
1,5,48,1,2000,12,5,1
1,5,48,1,2000,12,6,1
2,5,51,1,2000,12,6,1
5,5,12,1,2000,12,7,1
1,5,48,1,2000,12,7,1
2,5,5,1,2000,12,19,1
1,5,48,1,2001,1,9,1
2,5,40,1,2001,1,9,1
1,5,12,1,2001,1,11,1
2,5,40,2,2001,1,11,1
1,5,40,1,2001,1,16,1
1,5,48,1,2001,1,18,1
3,5,40,1,2001,1,18,1
1,5,40,1,2001,1,23,1
1,5,40,1,2001,1,25,1
2,5,48,1,2001,1,29,1
1,5,40,1,2001,1,30,1
1,5,40,1,2001,2,1,1
1,5,29,1,2001,2,7,1
5,5,48,1,2001,2,8,1
1,5,51,1,2001,3,1,1
1,5,40,1,2001,3,1,1
1,5,48,1,2001,3,7,1
2,5,37,1,2001,3,9,1
1,5,18,1,2001,3,14,1
1,5,6,1,2001,3,27,1
1,5,40,1,2001,3,27,1
1,5,29,1,2001,3,28,1
1,5,48,1,2001,4,3,1
1,5,32,1,2001,4,21,1
2,5,29,1,2001,4,25,1
2,5,48,1,2001,4,25,1
1,5,10,1,2001,4,26,1
1,5,40,2,2001,5,1,1
1,5,5,1,2001,5,8,1
3,5,40,1,2001,5,22,1
2,5,29,1,2001,5,23,1
2,5,10,1,2001,5,25,1
2,5,40,1,2001,5,29,1
1,5,48,1,2001,6,13,1
2,5,39,1,2001,6,14,1
2,5,48,1,2001,6,26,1
1,5,18,1,2001,6,27,1
2,5,29,1,2001,7,11,1
1,5,48,1,2001,7,11,1
3,5,40,1,2001,7,17,1
1,5,48,1,2001,8,8,1
1,5,48,1,2001,8,16,1
1,5,37,1,2001,8,24,1
1,5,53,1,2001,8,28,1
1,5,40,1,2001,8,28,1
1,5,37,1,2001,8,31,1
1,5,48,1,2001,9,18,1
2,5,37,1,2001,10,12,1
1,5,51,1,2001,10,18,1
1,5,40,1,2001,10,18,1
2,5,48,1,2001,10,22,1
1,5,29,1,2001,10,24,1
1,5,13,1,2001,10,25,1
2,5,13,1,2001,11,6,1
1,5,35,1,2001,11,6,1
1,5,48,1,2001,11,14,1
1,5,13,1,2001,11,15,1
2,5,48,1,2001,11,15,1
1,5,37,1,2001,11,30,1
1,5,40,2,2001,12,4,1
6,5,40,1,2001,12,6,1
1,5,13,1,2001,12,11,1
2,5,48,1,2001,12,12,1
1,5,29,1,2002,1,9,1
1,5,48,1,2002,1,9,1
2,5,48,1,2002,1,16,1
1,5,13,1,2002,1,24,1
1,5,6,1,2002,1,29,1
1,5,40,1,2002,1,29,1
2,5,48,1,2002,1,30,1
1,5,48,1,2002,1,31,1
1,5,40,1,2002,1,31,1
2,5,29,1,2002,2,6,1
1,5,39,1,2002,2,19,1
1,5,48,1,2002,2,28,1
1,5,29,1,2002,3,6,1
2,5,48,1,2002,3,7,1
1,5,13,1,2002,3,12,1
1,5,51,1,2002,3,14,1
1,5,51,1,2002,4,2,1
1,5,29,1,2002,4,10,1
5,5,48,1,2002,4,10,1
2,5,48,1,2002,4,11,1
1,5,48,1,2002,4,18,1
2,5,39,1,2002,4,26,1
5,5,48,1,2002,4,30,1
1,5,45,1,2002,5,3,1
2,5,48,1,2002,5,9,1
1,2,1,2,2002,5,10,1
1,5,22,1,2002,5,10,1
1,5,48,1,2002,5,16,1
5,5,48,1,2002,5,22,1
2,5,48,1,2002,5,28,1
1,5,48,1,2002,5,30,1
2,5,51,1,2002,6,12,1
1,5,48,1,2002,6,13,1
1,5,48,1,2002,6,25,1
2,5,48,1,2002,6,26,1
1,5,28,1,2002,7,17,1
1,5,40,1,2002,7,23,1
1,5,40,1,2002,7,30,1
1,5,48,1,2002,8,7,1
2,5,48,1,2002,8,8,1
5,5,48,1,2002,8,14,1
1,5,29,1,2002,8,14,1
1,5,13,1,2002,8,16,1
1,5,48,1,2002,8,20,1
2,5,45,1,2002,8,23,1
2,5,48,1,2002,8,28,1
2,5,48,1,2002,9,10,1
1,5,45,1,2002,9,13,1
1,5,48,1,2002,9,17,1
1,5,48,1,2002,9,18,1
1,5,48,1,2002,9,24,1
1,5,39,1,2002,9,25,1
2,5,48,1,2002,9,25,1
1,5,48,1,2002,10,1,1
5,5,12,1,2002,10,2,1
1,5,12,2,2002,10,9,1
1,5,13,1,2002,11,13,1
6,5,51,1,2002,11,14,1
1,5,48,1,2002,11,19,1
1,5,29,1,2002,11,20,1
1,5,48,1,2002,11,20,1
5,5,48,1,2002,12,4,1
1,5,37,1,2002,12,6,1
2,5,12,1,2002,12,9,1
2,5,37,1,2002,12,10,1
1,5,40,1,2002,12,10,1
1,5,48,1,2002,12,11,1
1,5,28,1,2002,12,11,1
